Answer,prompt
51,Each pack of dvds costs 76 dollars. If there is a discount of 25 dollars on each pack. How much do you have to pay to buy each pack?
1,Dan had $ 3 left with him after he bought a candy bar. If he had $ 4 at the start. How much did the candy bar cost?
17,Paco had 26 salty cookies and 17 sweet cookies. He ate 14 sweet cookies and 9 salty cookies.. How many salty cookies did Paco have left?
22,43 children were riding on the bus. At the bus stop some children got off the bus. Then there were 21 children left on the bus.. How many children got off the bus at the bus stop?
2,28 children were riding on the bus. At the bus stop 82 children got on the bus while some got off the bus. Then there were 30 children altogether on the bus.. How many more children got on the bus than those that got off?
46,There were 3 dollars in Olivia's wallet. She collected 49 more dollars from an atm. After she visited a supermarket there were 49 dollars left.. How much more money did she collect at the atm than she spent at the supermarket?
3,Jerry had some action figures on a shelf in his room. Later he added 7 more action figures to the shelf. If there are a total of 10 action figures on his shelf now. How many action figures did he have initially on the shelf?
9,Paco had 41 cookies. He gave 9 cookies to his friend and ate 18 cookies.. How many more cookies did he eat than those he gave to his friend?
4,Mary is baking a cake. The recipe calls for 3 cups of sugar 10 cups of flour and 15 cups of salt. She already put in 6 cups of flour.. How many more cups of flour does she need to add?
21,A waiter had some customers. After 9 customers left he still had 12 customers.. How many customers did he have at the start?
1,3 birds were sitting on the fence. 6 more storks and 2 more birds came to join them.. How many more storks than birds are sitting on the fence?
143,They decided to hold the party in their backyard. If they have 11 sets of tables and each set has 13 chairs. How many chairs do they have in the backyard?
926,In a school there are 458 more girls than boys. If there are 692 girls. How many pupils are there in that school?
255,After resting they decided to go for a swim. The depth of the water is 15 times Dean's height. Dean is 4 feet taller than Ron. If Ron stands at 13 feet. How deep was the water?
10,6 birds were sitting on the fence. 4 more birds and 8 more storks came to join them.. How many birds are sitting on the fence?
16,Marco and his dad went strawberry picking. Together they collected strawberries that weighed 36 pounds. On the way back Marco ' dad lost 8 pounds of strawberries. Marco's strawberries now weighed 12 pounds.. How much did his dad's strawberries weigh now?
469,In a school there are 697 girls and the rest are boys. If there are 228 more girls than boys. How many boys are there in that school?
1414,In a school there are 732 girls and 761 boys. 682 more girls and 8 more boys joined the school.. How many girls are there in the school now?
27,Danny collects bottle caps and wrappers. He found 22 bottle caps and 30 wrappers at the park. Now he has 17 bottle caps and 57 wrappers in his collection.. How many wrappers did danny have at first?
66,Paul got a box of 457 erasers and 617 crayons for his birthday. At the end of the school year he only had 523 crayons left while not having lost a single eraser.. How many more crayons than erasers did he have left?
186,Baker made 121 cakes. He sold 105 of them and bought 170 new cakes.. How many cakes does baker still have?
20,An industrial machine worked for 5 minutes. It can make 4 shirts a minute.. How many shirts did machine make?
10,The bananas in Philip's collection are organized into groups of size 18. If there are a total of 180 bananas in Philip's banana collection. How many groups are there?
1,There were some birds sitting on the fence. 4 more birds came to join them. If there are a total of 5 birds on the fence now. How many birds had been sitting on the fence at the start?
1,Jerry had 3 action figures on a shelf in his room. Later he added 4 more action figures to the shelf and removed some of the old ones. If there are 6 action figures on his shelf now. How many action figures did he remove from the shelf?
60,Danny collects bottle caps and wrappers. He found 65 wrappers and 5 bottle caps at the park. Now he has 31 bottle caps and 9 wrappers in his collection.. How many more wrappers than bottle caps did danny find at the park?
488,Because of the decision Sofia asked the students to suggest specific types of food from a total of 66 choices. If 450 students suggested adding mashed potatoes 38 suggested adding bacon to the menu and the rest did not participate. How many students participated in the suggestion of new food items?
1,Matthew gave equal numbers of crackers and cakes to his 28 friends. If he had 13 crackers and 15 cakes initially. How many crackers and cakes did each person eat?
89,"A grocery store had 49 bottles of regular soda, 40 bottles of diet soda and 6 bottles of lite soda.. How many bottles of regular soda and diet soda did they have altogether?"
2,"Dan has $ 3. He bought 2 candy bar for $ 4, each one costing the same amount of money.. How much did each candy bar cost?"
5,Tiffany was collecting cans for recycling. On monday she had 7 bags of cans. The next day she found 12 more bags worth of cans.. How many more bags did she find on the next day than she had on monday?
2,There were 15 roses and 62 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 17 roses and 96 orchids in the vase.. How many roses did she cut?
1,There are some baskets of peaches. Each basket has 4 red peaches and 3 green peaches. If there are a total of 7 peaches in all baskets. How many baskets of peaches are there?
63,There were 78 dollars in Olivia's wallet. She spent 15 dollars at a supermarket.. How much money does she have left?
1,"Jack received 6 emails in the morning, 3 emails in the afternoon and some more in the evening. If he received a total of 10 emails in the day. How many emails did Jack receive in the afternoon?"
1,Dan has $ 4. He bought a candy bar for $ 8. Then his friend have him $ 5. How much money is left?
949,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 703 visitors came to the Buckingham palace on the previous day. If there were 246 visitors on that day. How many visited the Buckingham palace within 25 days?"
2,For Gwen's birthday she received 5 dollars from her dad. Her mom gave her 7 more dollars. If she spent 4 dollars.. How much more money did she receive from her mom than she did from her dad?
2,There are 142 bananas and 356 oranges in Philip's collection. If the bananas are organized into 47 groups and oranges are organized into 178 groups. How big is each group of oranges?
3,There are 8 different books and 5 different movies in the ' crazy silly school ' series. If you read 19 of the movies and watched 16 of the books. How many more movies than books have you read?
10,Mary is baking a cake. The recipe calls for 12 cups of flour and 5 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour. How many cups of flour did she put in?
4,Danny collects bottle caps and wrappers. He found 46 wrappers and 50 bottle caps at the park. Now he has 21 bottle caps and 52 wrappers in his collection.. How many more bottle caps than wrappers did danny find at the park?
8142,Luke played 177 rounds of a trivia game. If he gained 46 points in each round. How many points did he score in the game?
1,3 birds and 4 storks were sitting on the fence. 2 more birds came to join them.. How many more birds than storks are sitting on the fence?
39,"The grasshopper, the frog and the mouse had a jumping contest. The grasshopper jumped 9 inches. The mouse jumped 3 inches lesser than the frog who jumped 33 inches farther than the grasshopper.. How far did the mouse jump?"
32,Zachary did 35 push-ups and 3 crunches in gym class today. David did 58 more push-ups but 87 less crunches than zachary.. How many more push-ups than crunches did Zachary do?
13,"Jack received 4 emails in the morning, 5 emails in the afternoon and 8 emails in the evening.. How many emails did Jack receive in the afternoon and evening?"
11,Jerry had 7 action figures on a shelf in his room. Later he added some more action figures to the shelf and removed 10 of the old ones. If there are 8 action figures on his shelf now. How many action figures did he add to the shelf?
26,Julia played tag with 12 kids on monday. She played tag with 14 kids on tuesday. She spent a total of 34 hours to play tag on both days.. How many kids did she play with altogether?
266,Nell collects cards. She had 309 baseball cards and 356 Ace cards. She gave some of her cards to Jeff and now has 415 baseball cards and Ace cards left.. How many more baseball cards than Ace cards does Nell have?
57,"At the zoo, a cage had 93 snakes and 97 alligators. If 40 alligators were hiding. How many alligators were not hiding?"
6,You have read 8 books from the ' crazy silly school ' series. If there are a total of 14 different books in the ' crazy silly school ' series. How many more do you still have to read?
4,Emily is making bead necklaces for her 43 friends. She had 20 beads and she was able to make 5 necklaces.. How many beads did each necklace need?
2,Frank put 11 pieces of candy in each bag. If he had 22 pieces of candy. How many bags would he have?
24,A waiter had 12 customers. After some left he still had 14 customers. Then he got 10 new customers. How many customers does he have now?
204,A farmer had 90 tomatoes in his garden. If he picked 154 of them yesterday and 50 today.. How many tomatoes did he pick in all?
20,"5 red peaches, 14 yellow peaches and 6 green peaches are in the basket.. How many green and yellow peaches are in the basket?"
31,Winter is almost here and most animals are migrating to warmer countries. There were 89 bird families living near the mountain. If 60 bird families flew away for winter. How many more bird families flew away for the winter than those that stayed behind?
10,There were 9 roses and 6 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 13 orchids and 3 roses in the vase.. How many more orchids than roses are there in the vase now?
61,"After eating a hearty meal they went to see the Buckingham palace. There were 39 paintings in the Buckingham palace. There, Rachel learned that 661 visitors came to the Buckingham palace that day. If there were 600 visitors the previous day. How many more visitors visited the Buckingham palace on that day than on the previous day?"
11,A waiter had 12 customers. While 15 customers left he got 14 new customers.. How many customers does he still have?
2,Emily is making bead necklaces for her 72 friends. She has 6 beads and each necklace takes 3 beads.. How many necklaces can Emily make?
2,He also had 26 aquariums for saltwater animals. The aquarium had 52 saltwater animals in total and every aquarium had the same number of animals.. How many saltwater animals does each aquarium have?
2,Mary is baking a cake. The recipe calls for 11 cups of flour and 7 cups of sugar. She already put in some cups of flour. If she still needs 2 more cups of flour than sugar. How many cups of flour did she put in?
139,Baker made 149 cakes and 91 pastries. If he sold 10 cakes and 90 pastries. How many cakes would baker still have?
3,Dave had 24 files and 13 apps on his phone. After deleting some apps and files he had 17 apps and 21 files left.. How many files did he delete?
4,An industrial machine made 9 shirts yesterday and 8 shirts today. It can make 2 shirts a minute.. How many minutes did the machine work today?
5,Rebecca wants to split a collection of eggs into 3 groups. Rebecca has 4 marbles and 15 eggs.. How many eggs will each group have?
22,Matthew had some crackers. If Matthew gave 2 crackers to each of his 11 friends. How many crackers did Matthew have?
111,Olivia spent 78 dollars at a supermarket. If she has 33 dollars left with her. How much money did she have initially?
22090603,If Lewis earns $ 1357 every week during the 223 weeks of a harvest season.. How much money will he earn if he works for 73 harvest seasons?
125,Because of the decision Sofia asked 310 students to suggest specific types of food. 185 students suggested adding mashed potatoes while others suggested adding bacon to the menu.. How many students suggested bacon?
8,Jack received 3 emails and 64 letters in the morning. He then received 5 emails and 54 letters in the afternoon.. How many emails did jack receive in the day?
75,Paco had 40 cookies. He ate 2 of them. Then he bought 37 more cookies. How many cookies did Paco have left?
569,Because of the decision Sofia asked the students to suggest specific types of food. If 218 students suggested adding mashed potatoes as well as bacon while 351 suggested adding only bacon to the menu. How many students suggested adding bacon?
2173,If each bag has 41 cookies and you had 53 bags of cookies. How many cookies would you have?
2,Rachel had to complete 2 pages of reading homework and 4 pages of math homework.. How many more pages of math homework than reading homework did she have?
8,Allan brought 5 balloons and Jake brought 4 balloons to the park. Allan then bought 3 more balloons at the park.. How many balloons did Allan bring to the park?
2,"Julia played tag with 8 kids on monday, 11 kids on tuesday and 9 kids on wednesday.. How many more kids did she play with on tuesday than on wednesday?"
4300,The Razorback shop makes $ 5 dollars off each jersey and $ 215 off each t-shirt. During the Arkansas and Texas tech game they sold 20 t-shirts and 64 jerseys.. How much money did they make from selling the t-shirts?
24,36 children were riding on the bus. At the bus stop 68 children got off the bus while some more got on the bus. Then there were 12 children altogether on the bus.. How many more children got off the bus than those that got on?
7,Brenda's mother made 14 cookies for 2 guests. If each of them had the same number of cookies. How many did each of them have?
2,Tiffany was collecting cans for recycling. On monday she had 4 bags of cans. The next day she found some more bags worth of cans. If she had a total of 6 bags altogether. How many bags did she find on the next day?
687,In a school there are 632 girls and 410 boys. 465 more girls joined the school.. How many more girls than boys does the school have?
20,Emily is making bead necklaces for her friends where each necklace takes 5 beads. She made 4 necklaces.. How many beads did Emily have?
30,Randy has 95 blocks. He uses 20 blocks to build a house and 50 blocks to build a tower.. How many more blocks did he use to build the tower than he did to build the house?
1,2 birds and 6 storks were sitting on the fence. 3 more birds came to join them.. How many more storks than birds are sitting on the fence?
17,The Razorback t-shirt shop made $ 51 dollars from selling 3 t-shirt during the Arkansas and Texas tech game they.. What is the cost of each t-shirt?
5,Paco had 12 cookies. He ate 16 cookies and gave 21 of them to his friend.. How many more cookies did he give to his friend than those he ate?
22,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that 317 visitors came to the Buckingham palace that day. If there were 295 visitors the previous day. How many more visitors visited the Buckingham palace on that day than on the previous day?"
1,Josh had 3 marbles in his collection. He found 6 marbles while he lost 5 marbles.. How many more marbles did he find than those he lost?
366,Because of the decision Sofia asked the students to suggest specific types of food. If 408 students suggested adding mashed potatoes while 42 suggested adding bacon to the menu. How many more students suggested mashed potatoes than those that suggested bacon?
22,Paco had 40 cookies. He ate 5 cookies and gave 13 of them to his friend.. How many cookies did paco have left?
1,Paco had 17 cookies. He ate 14 cookies and gave 13 of them to his friend.. How many more cookies did he eat than those he gave to his friend?
1,Julia played tag with 19 kids on monday. She played tag with 18 kids on tuesday. She spent a total of 38 hours to play tag on both days.. How many more kids did she play with on monday than on tuesday?
